Date,State,Number of Confirmed Cases,Number of Death Cases
3/29/20,Alabama,880,10
3/30/20,Alabama,1001,10
3/31/20,Alabama,1063,23
4/1/20,Alabama,1175,27
4/2/20,Alabama,1371,32
4/3/20,Alabama,1606,38
4/4/20,Alabama,1727,44
4/5/20,Alabama,1905,45
4/6/20,Alabama,2079,49
4/7/20,Alabama,2308,64
4/8/20,Alabama,2614,66
4/9/20,Alabama,2954,70
4/10/20,Alabama,3112,80
4/11/20,Alabama,3346,92
4/12/20,Alabama,3667,93
4/13/20,Alabama,3870,99
4/14/20,Alabama,4041,114
4/15/20,Alabama,4307,118
4/16/20,Alabama,4465,133
4/17/20,Alabama,4557,148
4/18/20,Alabama,4788,153
4/19/20,Alabama,4978,157
4/20/20,Alabama,5163,163
4/21/20,Alabama,5404,183
4/22/20,Alabama,5692,196
4/23/20,Alabama,5899,202
4/24/20,Alabama,6092,209
4/25/20,Alabama,6274,209
4/26/20,Alabama,6475,219
4/27/20,Alabama,6621,228
4/28/20,Alabama,6820,242
4/29/20,Alabama,6979,256
4/30/20,Alabama,7187,272
5/1/20,Alabama,7440,289
5/2/20,Alabama,7700,288
5/3/20,Alabama,7977,290
5/4/20,Alabama,8203,298
5/5/20,Alabama,8520,315
5/6/20,Alabama,8769,343
5/7/20,Alabama,9115,369
5/8/20,Alabama,9437,383
5/9/20,Alabama,9720,390
5/10/20,Alabama,9982,393
5/11/20,Alabama,10262,403
5/12/20,Alabama,10566,435
5/13/20,Alabama,10822,450
5/14/20,Alabama,11161,473
5/15/20,Alabama,11494,483
5/16/20,Alabama,11828,485
5/17/20,Alabama,12137,488
5/18/20,Alabama,12438,489
5/19/20,Alabama,12825,504
5/20/20,Alabama,13186,522
5/21/20,Alabama,13590,529
5/22/20,Alabama,13954,541
5/23/20,Alabama,14328,549
5/24/20,Alabama,14676,551
5/25/20,Alabama,15309,566
5/26/20,Alabama,15899,580
5/27/20,Alabama,16263,583
5/28/20,Alabama,16749,591
5/29/20,Alabama,17262,610
5/30/20,Alabama,17689,618
