Date,State,Number of Confirmed Cases
1/22/20,Alabama,0
1/23/20,Alabama,0
1/24/20,Alabama,0
1/25/20,Alabama,0
1/26/20,Alabama,0
1/27/20,Alabama,0
1/28/20,Alabama,0
1/29/20,Alabama,0
1/30/20,Alabama,0
1/31/20,Alabama,0
2/1/20,Alabama,0
2/2/20,Alabama,0
2/3/20,Alabama,0
2/4/20,Alabama,0
2/5/20,Alabama,0
2/6/20,Alabama,0
2/7/20,Alabama,0
2/8/20,Alabama,0
2/9/20,Alabama,0
2/10/20,Alabama,0
2/11/20,Alabama,0
2/12/20,Alabama,0
2/13/20,Alabama,0
2/14/20,Alabama,0
2/15/20,Alabama,0
2/16/20,Alabama,0
2/17/20,Alabama,0
2/18/20,Alabama,0
2/19/20,Alabama,0
2/20/20,Alabama,0
2/21/20,Alabama,0
2/22/20,Alabama,0
2/23/20,Alabama,0
2/24/20,Alabama,0
2/25/20,Alabama,0
2/26/20,Alabama,0
2/27/20,Alabama,0
2/28/20,Alabama,0
2/29/20,Alabama,0
3/1/20,Alabama,0
3/2/20,Alabama,0
3/3/20,Alabama,0
3/4/20,Alabama,0
3/5/20,Alabama,0
3/6/20,Alabama,0
3/7/20,Alabama,0
3/8/20,Alabama,0
3/9/20,Alabama,0
3/10/20,Alabama,0
3/11/20,Alabama,3
3/12/20,Alabama,4
3/13/20,Alabama,8
3/14/20,Alabama,15
3/15/20,Alabama,28
3/16/20,Alabama,36
3/17/20,Alabama,51
3/18/20,Alabama,61
3/19/20,Alabama,88
3/20/20,Alabama,115
3/21/20,Alabama,149
3/22/20,Alabama,180
3/23/20,Alabama,224
3/24/20,Alabama,298
3/25/20,Alabama,472
3/26/20,Alabama,574
3/27/20,Alabama,684
3/28/20,Alabama,801
3/29/20,Alabama,880
3/30/20,Alabama,1001
3/31/20,Alabama,1063
4/1/20,Alabama,1175
4/2/20,Alabama,1371
4/3/20,Alabama,1606
4/4/20,Alabama,1727
4/5/20,Alabama,1905
4/6/20,Alabama,2079
4/7/20,Alabama,2308
4/8/20,Alabama,2614
4/9/20,Alabama,2954
4/10/20,Alabama,3112
4/11/20,Alabama,3346
4/12/20,Alabama,3667
4/13/20,Alabama,3870
4/14/20,Alabama,4041
4/15/20,Alabama,4307
4/16/20,Alabama,4465
4/17/20,Alabama,4557
4/18/20,Alabama,4788
4/19/20,Alabama,4978
4/20/20,Alabama,5163
4/21/20,Alabama,5404
4/22/20,Alabama,5692
4/23/20,Alabama,5899
4/24/20,Alabama,6092
4/25/20,Alabama,6274
4/26/20,Alabama,6475
4/27/20,Alabama,6621
4/28/20,Alabama,6820
4/29/20,Alabama,6979
4/30/20,Alabama,7187
5/1/20,Alabama,7440
5/2/20,Alabama,7700
5/3/20,Alabama,7977
5/4/20,Alabama,8203
5/5/20,Alabama,8520
5/6/20,Alabama,8769
5/7/20,Alabama,9115
5/8/20,Alabama,9437
5/9/20,Alabama,9720
5/10/20,Alabama,9982
5/11/20,Alabama,10262
5/12/20,Alabama,10566
5/13/20,Alabama,10822
5/14/20,Alabama,11161
5/15/20,Alabama,11494
5/16/20,Alabama,11828
5/17/20,Alabama,12137
5/18/20,Alabama,12438
5/19/20,Alabama,12825
5/20/20,Alabama,13186
5/21/20,Alabama,13590
5/22/20,Alabama,13954
5/23/20,Alabama,14328
5/24/20,Alabama,14676
5/25/20,Alabama,15309
5/26/20,Alabama,15899
5/27/20,Alabama,16263
5/28/20,Alabama,16749
5/29/20,Alabama,17262
5/30/20,Alabama,17689
5/31/20,Alabama,18200
6/1/20,Alabama,18525
6/2/20,Alabama,18734
6/3/20,Alabama,18954
6/4/20,Alabama,19262
6/5/20,Alabama,19910
6/6/20,Alabama,20355
6/7/20,Alabama,20777
6/8/20,Alabama,21268
6/9/20,Alabama,21834
6/10/20,Alabama,22659
6/11/20,Alabama,23370
6/12/20,Alabama,24405
6/13/20,Alabama,25364
6/14/20,Alabama,26182
6/15/20,Alabama,26485
6/16/20,Alabama,27034
6/17/20,Alabama,27941
6/18/20,Alabama,28676
6/19/20,Alabama,29225
6/20/20,Alabama,29683
6/21/20,Alabama,30122
6/22/20,Alabama,30771
6/23/20,Alabama,31889
6/24/20,Alabama,32878
6/25/20,Alabama,33880
6/26/20,Alabama,34903
6/27/20,Alabama,35083
6/28/20,Alabama,36503
6/29/20,Alabama,37589
6/30/20,Alabama,38477
7/1/20,Alabama,39647
7/2/20,Alabama,41340
7/3/20,Alabama,42255
7/4/20,Alabama,43216
7/5/20,Alabama,44022
7/6/20,Alabama,44932
7/7/20,Alabama,46348
7/8/20,Alabama,48149
7/9/20,Alabama,49695
7/10/20,Alabama,51329
7/11/20,Alabama,52802
7/12/20,Alabama,54781
7/13/20,Alabama,56168
7/14/20,Alabama,58284
7/15/20,Alabama,60194
7/16/20,Alabama,62128
7/17/20,Alabama,64152
7/18/20,Alabama,66181
7/19/20,Alabama,67733
7/20/20,Alabama,69236
7/21/20,Alabama,70600
7/22/20,Alabama,72594
7/23/20,Alabama,74685
7/24/20,Alabama,76795
7/25/20,Alabama,78188
7/26/20,Alabama,79948
7/27/20,Alabama,81256
7/28/20,Alabama,82698
7/29/20,Alabama,84652
7/30/20,Alabama,86664
7/31/20,Alabama,88266
8/1/20,Alabama,90299
8/2/20,Alabama,91458
8/3/20,Alabama,92502
8/4/20,Alabama,93457
8/5/20,Alabama,95323
8/6/20,Alabama,97044
8/7/20,Alabama,98895
8/8/20,Alabama,99854
8/9/20,Alabama,101466
8/10/20,Alabama,102391
8/11/20,Alabama,103485
8/12/20,Alabama,104219
8/13/20,Alabama,104976
8/14/20,Alabama,106096
8/15/20,Alabama,106926
8/16/20,Alabama,107667
8/17/20,Alabama,109092
8/18/20,Alabama,110415
8/19/20,Alabama,111696
8/20/20,Alabama,112737
8/21/20,Alabama,114212
8/22/20,Alabama,114809
8/23/20,Alabama,115485
8/24/20,Alabama,116045
8/25/20,Alabama,118190
8/26/20,Alabama,119904
8/27/20,Alabama,121041
8/28/20,Alabama,122879
8/29/20,Alabama,124155
8/30/20,Alabama,124944
8/31/20,Alabama,126500
9/1/20,Alabama,127234
9/2/20,Alabama,128240
9/3/20,Alabama,129225
9/4/20,Alabama,130373
9/5/20,Alabama,130914
9/6/20,Alabama,131690
9/7/20,Alabama,132221
9/8/20,Alabama,133005
9/9/20,Alabama,134061
9/10/20,Alabama,135138
9/11/20,Alabama,136107
9/12/20,Alabama,137166
9/13/20,Alabama,137861
9/14/20,Alabama,138619
9/15/20,Alabama,139660
9/16/20,Alabama,140423
9/17/20,Alabama,141454
9/18/20,Alabama,142768
9/19/20,Alabama,143578
9/20/20,Alabama,144325
9/21/20,Alabama,145202
9/22/20,Alabama,145859
9/23/20,Alabama,146897
9/24/20,Alabama,149263
9/25/20,Alabama,150239
9/26/20,Alabama,150965
9/27/20,Alabama,151604
9/28/20,Alabama,152350
9/29/20,Alabama,153584
9/30/20,Alabama,154772
10/1/20,Alabama,155727
10/2/20,Alabama,157402
10/3/20,Alabama,158181
10/4/20,Alabama,158717
10/5/20,Alabama,159476
10/6/20,Alabama,160485
10/7/20,Alabama,161085
10/8/20,Alabama,162683
10/9/20,Alabama,163897
10/10/20,Alabama,164698
10/11/20,Alabama,165414
10/12/20,Alabama,166514
10/13/20,Alabama,167396
10/14/20,Alabama,168620
10/15/20,Alabama,169845
10/16/20,Alabama,171157
10/17/20,Alabama,172137
10/18/20,Alabama,173002
10/19/20,Alabama,174078
10/20/20,Alabama,175210
10/21/20,Alabama,176605
10/22/20,Alabama,180437
10/23/20,Alabama,182567
10/24/20,Alabama,183831
10/25/20,Alabama,184723
10/26/20,Alabama,185938
10/27/20,Alabama,187267
10/28/20,Alabama,188775
10/29/20,Alabama,190113
10/30/20,Alabama,191932
10/31/20,Alabama,193613
11/1/20,Alabama,194458
11/2/20,Alabama,195692
11/3/20,Alabama,197504
11/4/20,Alabama,198927
11/5/20,Alabama,200528
11/6/20,Alabama,202131
11/7/20,Alabama,203518
11/8/20,Alabama,204665
11/9/20,Alabama,206523
11/10/20,Alabama,206562
11/11/20,Alabama,208637
11/12/20,Alabama,210637
11/13/20,Alabama,213617
11/14/20,Alabama,215843
11/15/20,Alabama,217822
11/16/20,Alabama,219232
11/17/20,Alabama,220848
11/18/20,Alabama,223486
11/19/20,Alabama,225910
11/20/20,Alabama,228373
11/21/20,Alabama,230708
11/22/20,Alabama,232506
11/23/20,Alabama,234080
11/24/20,Alabama,236865
11/25/20,Alabama,239318
11/26/20,Alabama,241957
11/27/20,Alabama,242874
11/28/20,Alabama,244993
11/29/20,Alabama,247229
11/30/20,Alabama,249524
12/1/20,Alabama,252900
12/2/20,Alabama,256828
12/3/20,Alabama,260359
12/4/20,Alabama,264199
12/5/20,Alabama,267589
12/6/20,Alabama,269877
12/7/20,Alabama,272229
12/8/20,Alabama,276665
12/9/20,Alabama,280187
12/10/20,Alabama,284922
12/11/20,Alabama,288775
12/12/20,Alabama,292841
12/13/20,Alabama,295631
12/14/20,Alabama,297895
12/15/20,Alabama,301533
12/16/20,Alabama,305640
12/17/20,Alabama,310335
12/18/20,Alabama,315683
12/19/20,Alabama,319904
12/20/20,Alabama,322452
12/21/20,Alabama,324832
12/22/20,Alabama,329811
12/23/20,Alabama,334569
12/24/20,Alabama,338801
12/25/20,Alabama,342426
12/26/20,Alabama,343458
12/27/20,Alabama,345628
12/28/20,Alabama,347897
12/29/20,Alabama,351804
12/30/20,Alabama,356820
12/31/20,Alabama,361226
1/1/21,Alabama,365747
1/2/21,Alabama,369458
1/3/21,Alabama,371934
1/4/21,Alabama,374095
1/5/21,Alabama,379593
1/6/21,Alabama,384184
1/7/21,Alabama,389230
1/8/21,Alabama,394287
1/9/21,Alabama,399150
1/10/21,Alabama,401900
1/11/21,Alabama,404000
1/12/21,Alabama,407848
1/13/21,Alabama,410995
1/14/21,Alabama,414583
1/15/21,Alabama,417528
1/16/21,Alabama,420681
1/17/21,Alabama,422598
1/18/21,Alabama,424028
1/19/21,Alabama,426543
1/20/21,Alabama,429655
1/21/21,Alabama,432536
1/22/21,Alabama,436087
1/23/21,Alabama,439442
1/24/21,Alabama,441170
1/25/21,Alabama,443009
1/26/21,Alabama,445909
1/27/21,Alabama,449086
1/28/21,Alabama,452734
1/29/21,Alabama,455582
1/30/21,Alabama,455582
1/31/21,Alabama,459639
2/1/21,Alabama,460860
2/2/21,Alabama,462938
2/3/21,Alabama,465056
2/4/21,Alabama,467823
2/5/21,Alabama,469319
2/6/21,Alabama,471311
2/7/21,Alabama,472423
2/8/21,Alabama,473348
2/9/21,Alabama,474666
2/10/21,Alabama,476067
2/11/21,Alabama,477570
2/12/21,Alabama,478667
2/13/21,Alabama,479856
2/14/21,Alabama,480931
2/15/21,Alabama,481605
2/16/21,Alabama,482488
2/17/21,Alabama,483167
2/18/21,Alabama,484365
2/19/21,Alabama,485212
2/20/21,Alabama,485986
2/21/21,Alabama,486843
2/22/21,Alabama,487520
2/23/21,Alabama,488973
2/24/21,Alabama,490220
2/25/21,Alabama,491110
2/26/21,Alabama,491849
2/27/21,Alabama,492683
2/28/21,Alabama,493252
3/1/21,Alabama,493769
3/2/21,Alabama,494421
3/3/21,Alabama,497154
3/4/21,Alabama,498076
3/5/21,Alabama,498887
3/6/21,Alabama,499411
3/7/21,Alabama,499819
3/8/21,Alabama,500092
3/9/21,Alabama,500616
3/10/21,Alabama,501398
3/11/21,Alabama,502263
3/12/21,Alabama,502711
3/13/21,Alabama,503305
3/14/21,Alabama,503673
3/15/21,Alabama,508229
3/16/21,Alabama,508717
3/17/21,Alabama,509476
3/18/21,Alabama,510048
3/19/21,Alabama,510579
3/20/21,Alabama,511087
3/21/21,Alabama,511460
3/22/21,Alabama,511779
3/23/21,Alabama,511789
3/24/21,Alabama,512711
3/25/21,Alabama,513138
3/26/21,Alabama,513580
3/27/21,Alabama,514072
3/28/21,Alabama,514391
3/29/21,Alabama,514619
3/30/21,Alabama,514980
3/31/21,Alabama,515388
4/1/21,Alabama,515866
4/2/21,Alabama,516266
4/3/21,Alabama,516615
4/4/21,Alabama,516809
4/5/21,Alabama,516918
4/6/21,Alabama,517114
4/7/21,Alabama,517452
4/8/21,Alabama,517916
4/9/21,Alabama,518234
4/10/21,Alabama,518588
4/11/21,Alabama,518899
4/12/21,Alabama,519071
4/13/21,Alabama,520503
4/14/21,Alabama,520780
4/15/21,Alabama,521201
4/16/21,Alabama,521623
4/17/21,Alabama,522131
4/18/21,Alabama,522401
4/19/21,Alabama,522512
4/20/21,Alabama,523955
4/21/21,Alabama,524367
4/22/21,Alabama,525049
4/23/21,Alabama,525477
4/24/21,Alabama,525898
4/25/21,Alabama,526131
4/26/21,Alabama,526348
4/27/21,Alabama,526707
4/28/21,Alabama,527083
4/29/21,Alabama,527513
4/30/21,Alabama,527922
5/1/21,Alabama,528309
5/2/21,Alabama,528597
5/3/21,Alabama,528784
5/4/21,Alabama,528784
5/5/21,Alabama,529446
5/6/21,Alabama,530011
5/7/21,Alabama,530325
5/8/21,Alabama,530744
5/9/21,Alabama,530988
5/10/21,Alabama,531094
5/11/21,Alabama,531404
5/12/21,Alabama,531751
5/13/21,Alabama,532895
5/14/21,Alabama,537813
5/15/21,Alabama,539829
5/16/21,Alabama,540083
5/17/21,Alabama,540267
5/18/21,Alabama,540603
5/19/21,Alabama,540891
5/20/21,Alabama,541230
5/21/21,Alabama,541673
5/22/21,Alabama,541928
5/23/21,Alabama,542124
5/24/21,Alabama,542256
5/25/21,Alabama,542562
5/26/21,Alabama,542831
5/27/21,Alabama,543177
5/28/21,Alabama,543405
5/29/21,Alabama,543405
5/30/21,Alabama,543405
5/31/21,Alabama,543405
6/1/21,Alabama,544045
6/2/21,Alabama,544598
6/3/21,Alabama,545028
6/4/21,Alabama,545585
6/5/21,Alabama,545585
6/6/21,Alabama,545585
6/7/21,Alabama,546324
6/8/21,Alabama,546540
6/9/21,Alabama,546845
6/10/21,Alabama,547135
6/11/21,Alabama,547323
6/12/21,Alabama,547323
6/13/21,Alabama,547323
6/14/21,Alabama,547873
6/15/21,Alabama,548163
6/16/21,Alabama,548323
6/17/21,Alabama,548323
6/18/21,Alabama,548657
6/19/21,Alabama,548657
6/20/21,Alabama,548657
6/21/21,Alabama,549013
6/22/21,Alabama,549013
6/23/21,Alabama,549394
6/24/21,Alabama,549394
6/25/21,Alabama,549934
6/26/21,Alabama,549934
6/27/21,Alabama,549934
6/28/21,Alabama,550451
6/29/21,Alabama,550451
6/30/21,Alabama,550983
7/1/21,Alabama,550983
7/2/21,Alabama,551298
7/3/21,Alabama,551298
7/4/21,Alabama,551298
7/5/21,Alabama,551298
7/6/21,Alabama,551298
7/7/21,Alabama,552911
7/8/21,Alabama,552911
7/9/21,Alabama,554071
7/10/21,Alabama,554605
7/11/21,Alabama,554605
7/12/21,Alabama,555215
7/13/21,Alabama,555215
7/14/21,Alabama,556613
7/15/21,Alabama,557578
7/16/21,Alabama,558577
7/17/21,Alabama,559478
7/18/21,Alabama,560202
7/19/21,Alabama,560920
7/20/21,Alabama,562311
7/21/21,Alabama,563943
7/22/21,Alabama,565510
7/23/21,Alabama,567243
7/24/21,Alabama,569131
7/25/21,Alabama,570667
7/26/21,Alabama,572070
7/27/21,Alabama,574737
7/28/21,Alabama,577463
7/29/21,Alabama,577463
7/30/21,Alabama,577463
7/31/21,Alabama,585607
8/1/21,Alabama,587405
8/2/21,Alabama,589110
8/3/21,Alabama,592417
8/4/21,Alabama,595816
8/5/21,Alabama,599633
8/6/21,Alabama,603318
8/7/21,Alabama,607209
8/8/21,Alabama,607209
8/9/21,Alabama,612086
8/10/21,Alabama,615901
8/11/21,Alabama,619752
8/12/21,Alabama,623919
8/13/21,Alabama,627905
8/14/21,Alabama,627905
8/15/21,Alabama,634897
8/16/21,Alabama,637363
8/17/21,Alabama,641386
8/18/21,Alabama,645851
8/19/21,Alabama,649741
8/20/21,Alabama,653540
8/21/21,Alabama,659750
8/22/21,Alabama,663065
8/23/21,Alabama,665653
8/24/21,Alabama,665653
8/25/21,Alabama,665653
8/26/21,Alabama,676795
8/27/21,Alabama,681828
8/28/21,Alabama,688018
8/29/21,Alabama,691451
8/30/21,Alabama,694523
8/31/21,Alabama,699729
9/1/21,Alabama,704420
9/2/21,Alabama,709732
9/3/21,Alabama,714860
9/4/21,Alabama,719280
9/5/21,Alabama,722122
9/6/21,Alabama,724688
9/7/21,Alabama,727360
9/8/21,Alabama,732151
9/9/21,Alabama,736518
9/10/21,Alabama,741318
9/11/21,Alabama,745812
9/12/21,Alabama,747606
9/13/21,Alabama,750298
9/14/21,Alabama,754242
9/15/21,Alabama,757893
9/16/21,Alabama,761865
9/17/21,Alabama,764839
9/18/21,Alabama,768301
9/19/21,Alabama,770391
9/20/21,Alabama,772311
9/21/21,Alabama,775531
9/22/21,Alabama,778549
9/23/21,Alabama,781915
9/24/21,Alabama,784484
9/25/21,Alabama,787421
9/26/21,Alabama,789054
9/27/21,Alabama,790648
9/28/21,Alabama,792632
9/29/21,Alabama,794773
9/30/21,Alabama,796475
10/1/21,Alabama,798320
10/2/21,Alabama,799800
10/3/21,Alabama,800692
10/4/21,Alabama,801428
10/5/21,Alabama,802977
10/6/21,Alabama,804249
10/7/21,Alabama,805511
10/8/21,Alabama,806560
10/9/21,Alabama,807479
10/10/21,Alabama,808132
10/11/21,Alabama,808599
10/12/21,Alabama,809485
10/13/21,Alabama,810501
10/14/21,Alabama,811551
10/15/21,Alabama,812694
10/16/21,Alabama,813481
10/17/21,Alabama,814025
10/18/21,Alabama,814363
10/19/21,Alabama,815324
10/20/21,Alabama,815989
10/21/21,Alabama,817054
10/22/21,Alabama,818652
10/23/21,Alabama,819597
10/24/21,Alabama,820011
10/25/21,Alabama,820312
10/26/21,Alabama,821255
10/27/21,Alabama,828648
10/28/21,Alabama,830789
10/29/21,Alabama,831165
10/30/21,Alabama,831653
10/31/21,Alabama,832047
11/1/21,Alabama,832264
11/2/21,Alabama,833009
11/3/21,Alabama,833493
11/4/21,Alabama,834582
11/5/21,Alabama,835157
11/6/21,Alabama,835740
11/7/21,Alabama,836032
11/8/21,Alabama,836255
11/9/21,Alabama,837250
11/10/21,Alabama,837428
11/11/21,Alabama,838114
11/12/21,Alabama,838836
11/13/21,Alabama,839436
11/14/21,Alabama,839695
11/15/21,Alabama,839953
11/16/21,Alabama,840495
11/17/21,Alabama,840991
11/18/21,Alabama,841483
11/19/21,Alabama,841956
11/20/21,Alabama,842636
11/21/21,Alabama,842908
11/22/21,Alabama,843161
11/23/21,Alabama,843780
11/24/21,Alabama,844196
11/25/21,Alabama,844594
11/26/21,Alabama,844594
11/27/21,Alabama,844951
11/28/21,Alabama,845108
11/29/21,Alabama,845284
11/30/21,Alabama,845761
12/1/21,Alabama,846297
12/2/21,Alabama,847064
12/3/21,Alabama,847659
12/4/21,Alabama,848137
12/5/21,Alabama,848498
12/6/21,Alabama,848779
12/7/21,Alabama,849409
12/8/21,Alabama,850096
12/9/21,Alabama,850645
12/10/21,Alabama,851237
12/11/21,Alabama,851950
12/12/21,Alabama,852280
12/13/21,Alabama,852574
12/14/21,Alabama,854229
12/15/21,Alabama,854876
12/16/21,Alabama,855692
12/17/21,Alabama,856600
12/18/21,Alabama,857292
12/19/21,Alabama,857844
12/20/21,Alabama,858396
12/21/21,Alabama,859650
12/22/21,Alabama,861110
12/23/21,Alabama,863170
12/24/21,Alabama,865636
12/25/21,Alabama,868085
12/26/21,Alabama,868948
12/27/21,Alabama,870627
12/28/21,Alabama,874332
12/29/21,Alabama,880307
12/30/21,Alabama,888563
12/31/21,Alabama,896614
1/1/22,Alabama,896614
1/2/22,Alabama,909541
1/3/22,Alabama,913603
1/4/22,Alabama,921175
1/5/22,Alabama,932250
1/6/22,Alabama,944876
1/7/22,Alabama,957848
1/8/22,Alabama,966180
1/9/22,Alabama,978632
1/10/22,Alabama,984882
1/11/22,Alabama,993418
1/12/22,Alabama,1004622
1/13/22,Alabama,1004622
1/14/22,Alabama,1004622
1/15/22,Alabama,1004622
1/16/22,Alabama,1056478
1/17/22,Alabama,1064536
1/18/22,Alabama,1071264
1/19/22,Alabama,1088370
1/20/22,Alabama,1104356
1/21/22,Alabama,1120881
1/22/22,Alabama,1137387
1/23/22,Alabama,1147194
1/24/22,Alabama,1153149
1/25/22,Alabama,1161929
1/26/22,Alabama,1153149
1/27/22,Alabama,1153149
1/28/22,Alabama,1195557
1/29/22,Alabama,1206308
1/30/22,Alabama,1212798
1/31/22,Alabama,1218257
2/1/22,Alabama,1223896
2/2/22,Alabama,1229300
2/3/22,Alabama,1229300
2/4/22,Alabama,1240496
2/5/22,Alabama,1242420
2/6/22,Alabama,1242420
2/7/22,Alabama,1245876
2/8/22,Alabama,1250383
2/9/22,Alabama,1254032
2/10/22,Alabama,1256745
2/11/22,Alabama,1259580
2/12/22,Alabama,1262018
2/13/22,Alabama,1263072
2/14/22,Alabama,1263796
2/15/22,Alabama,1265932
2/16/22,Alabama,1267907
2/17/22,Alabama,1270015
2/18/22,Alabama,1271455
2/19/22,Alabama,1272608
2/20/22,Alabama,1273092
2/21/22,Alabama,1273484
2/22/22,Alabama,1274123
2/23/22,Alabama,1275355
2/24/22,Alabama,1276580
2/25/22,Alabama,1277837
2/26/22,Alabama,1279006
2/27/22,Alabama,1279364
2/28/22,Alabama,1279565
3/1/22,Alabama,1280351
3/2/22,Alabama,1281610
3/3/22,Alabama,1282372
3/4/22,Alabama,1282945
3/5/22,Alabama,1282945
3/6/22,Alabama,1282945
3/7/22,Alabama,1286655
3/8/22,Alabama,1287286
3/9/22,Alabama,1287822
3/10/22,Alabama,1288454
3/11/22,Alabama,1288999
3/12/22,Alabama,1288999
3/13/22,Alabama,1288999
3/14/22,Alabama,1289510
3/15/22,Alabama,1289727
3/16/22,Alabama,1290165
3/17/22,Alabama,1290692
3/18/22,Alabama,1291186
3/19/22,Alabama,1291186
3/20/22,Alabama,1291186
3/21/22,Alabama,1291561
3/22/22,Alabama,1291761
3/23/22,Alabama,1291946
3/24/22,Alabama,1292344
3/25/22,Alabama,1292508
3/26/22,Alabama,1292508
3/27/22,Alabama,1292508
3/28/22,Alabama,1294532
3/29/22,Alabama,1294816
3/30/22,Alabama,1295069
3/31/22,Alabama,1295327
4/1/22,Alabama,1295353
4/2/22,Alabama,1295468
4/3/22,Alabama,1295468
4/4/22,Alabama,1295892
4/5/22,Alabama,1296129
4/6/22,Alabama,1296348
4/7/22,Alabama,1296558
4/8/22,Alabama,1296730
4/9/22,Alabama,1296730
4/10/22,Alabama,1296730
4/11/22,Alabama,1297091
4/12/22,Alabama,1297305
4/13/22,Alabama,1297461
4/14/22,Alabama,1297649
4/15/22,Alabama,1297869
4/16/22,Alabama,1297869
4/17/22,Alabama,1297869
4/18/22,Alabama,1298837
4/19/22,Alabama,1298473
4/20/22,Alabama,1298626
4/21/22,Alabama,1298880
4/22/22,Alabama,1299137
4/23/22,Alabama,1299137
4/24/22,Alabama,1299137
4/25/22,Alabama,1299816
4/26/22,Alabama,1300076
4/27/22,Alabama,1300278
4/28/22,Alabama,1300511
4/29/22,Alabama,1300733
4/30/22,Alabama,1300733
5/1/22,Alabama,1300733
5/2/22,Alabama,1301171
5/3/22,Alabama,1301463
5/4/22,Alabama,1301805
5/5/22,Alabama,1302155
5/6/22,Alabama,1302397
5/7/22,Alabama,1302397
5/8/22,Alabama,1302397
5/9/22,Alabama,1302945
5/10/22,Alabama,1303441
5/11/22,Alabama,1303835
5/12/22,Alabama,1304291
5/13/22,Alabama,1304710
5/14/22,Alabama,1304710
5/15/22,Alabama,1304710
5/16/22,Alabama,1305665
5/17/22,Alabama,1306116
5/18/22,Alabama,1306662
5/19/22,Alabama,1307291
5/20/22,Alabama,1307883
5/21/22,Alabama,1307883
5/22/22,Alabama,1307883
5/23/22,Alabama,1309185
5/24/22,Alabama,1309743
5/25/22,Alabama,1310513
5/26/22,Alabama,1311381
5/27/22,Alabama,1312437
5/28/22,Alabama,1312437
5/29/22,Alabama,1312437
5/30/22,Alabama,1312437
5/31/22,Alabama,1314963
6/1/22,Alabama,1315934
6/2/22,Alabama,1317029
6/3/22,Alabama,1317029
6/4/22,Alabama,1317029
6/5/22,Alabama,1317029
6/6/22,Alabama,1320708
6/7/22,Alabama,1321892
6/8/22,Alabama,1322957
6/9/22,Alabama,1324178
6/10/22,Alabama,1325361
6/11/22,Alabama,1325361
6/12/22,Alabama,1325361
6/13/22,Alabama,1328321
6/14/22,Alabama,1329827
6/15/22,Alabama,1331452
6/16/22,Alabama,1333137
6/17/22,Alabama,1334981
6/18/22,Alabama,1334981
6/19/22,Alabama,1334981
6/20/22,Alabama,1338177
6/21/22,Alabama,1340110
6/22/22,Alabama,1342150
6/23/22,Alabama,1344233
6/24/22,Alabama,1346268
6/25/22,Alabama,1346268
6/26/22,Alabama,1346268
6/27/22,Alabama,1350735
6/28/22,Alabama,1352915
6/29/22,Alabama,1355340
6/30/22,Alabama,1357266
7/1/22,Alabama,1359051
7/2/22,Alabama,1359051
7/3/22,Alabama,1359051
7/4/22,Alabama,1362388
7/5/22,Alabama,1363194
7/6/22,Alabama,1367570
7/7/22,Alabama,1370792
7/8/22,Alabama,1373684
7/9/22,Alabama,1373684
7/10/22,Alabama,1373684
7/11/22,Alabama,1378259
7/12/22,Alabama,1382137
7/13/22,Alabama,1384836
7/14/22,Alabama,1387729
7/15/22,Alabama,1390333
7/16/22,Alabama,1390333
7/17/22,Alabama,1390333
7/18/22,Alabama,1396285
7/19/22,Alabama,1398986
7/20/22,Alabama,1401893
7/21/22,Alabama,1404810
7/22/22,Alabama,1407699
7/23/22,Alabama,1407699
7/24/22,Alabama,1407699
7/25/22,Alabama,1413426
7/26/22,Alabama,1416310
7/27/22,Alabama,1419075
7/28/22,Alabama,1421760
7/29/22,Alabama,1424411
7/30/22,Alabama,1424411
7/31/22,Alabama,1424411
8/1/22,Alabama,1424411
8/2/22,Alabama,1424411
8/3/22,Alabama,1424411
8/4/22,Alabama,1436458
8/5/22,Alabama,1436458
8/6/22,Alabama,1436458
8/7/22,Alabama,1436458
8/8/22,Alabama,1436458
8/9/22,Alabama,1436458
8/10/22,Alabama,1436458
8/11/22,Alabama,1449812
8/12/22,Alabama,1449812
8/13/22,Alabama,1449812
8/14/22,Alabama,1449812
8/15/22,Alabama,1449812
8/16/22,Alabama,1449812
8/17/22,Alabama,1449812
8/18/22,Alabama,1463933
8/19/22,Alabama,1463933
8/20/22,Alabama,1463933
8/21/22,Alabama,1463933
8/22/22,Alabama,1463933
8/23/22,Alabama,1463933
8/24/22,Alabama,1463933
8/25/22,Alabama,1479605
8/26/22,Alabama,1479605
8/27/22,Alabama,1479605
8/28/22,Alabama,1479605
8/29/22,Alabama,1479605
8/30/22,Alabama,1479605
8/31/22,Alabama,1479605
9/1/22,Alabama,1494300
9/2/22,Alabama,1494300
9/3/22,Alabama,1494300
9/4/22,Alabama,1494300
9/5/22,Alabama,1494300
9/6/22,Alabama,1494300
9/7/22,Alabama,1494300
9/8/22,Alabama,1504180
9/9/22,Alabama,1504180
9/10/22,Alabama,1504180
9/11/22,Alabama,1504180
9/12/22,Alabama,1504180
9/13/22,Alabama,1504180
9/14/22,Alabama,1504180
9/15/22,Alabama,1512134
9/16/22,Alabama,1512134
9/17/22,Alabama,1512134
9/18/22,Alabama,1512134
9/19/22,Alabama,1512134
9/20/22,Alabama,1512134
9/21/22,Alabama,1512134
9/22/22,Alabama,1517904
9/23/22,Alabama,1517904
9/24/22,Alabama,1517904
9/25/22,Alabama,1517904
9/26/22,Alabama,1517904
9/27/22,Alabama,1517904
9/28/22,Alabama,1517904
9/29/22,Alabama,1522135
9/30/22,Alabama,1522135
10/1/22,Alabama,1522135
